ENVIRONMENT STATS:
Env settings:
Always Maintain:
  Avg Reward: -49266.80
  Avg Failures: 12.52
  Worst-case Reward: -86662.00
----------------------------------------
Never Maintain:
  Avg Reward: -28804.80
  Avg Failures: 7.26
  Worst-case Reward: -56000.00
----------------------------------------
Random:
  Avg Reward: -42312.10
  Avg Failures: 10.86
  Worst-case Reward: -66661.00
----------------------------------------

DQN: Naive DQN
Episode   1 |failure: False |Reward: -14500.00
Episode   2 |failure: False |Reward: -60022.00
Episode   3 |failure: False |Reward: -32020.00
Episode   4 |failure: False |Reward: -39782.00
Episode   5 |failure: False |Reward: -32022.00
Episode   6 |failure: False |Reward: -47459.00
Episode   7 |failure: False |Reward: -27858.00
Episode   8 |failure: False |Reward: -22900.00
Episode   9 |failure: False |Reward: -31779.00
Episode  10 |failure: False |Reward: -52020.00
Episode  11 |failure: False |Reward: -52020.00
Episode  12 |failure: False |Reward: -36021.00
Episode  13 |failure: False |Reward: -55939.00
Episode  14 |failure: False |Reward: -38657.00
Episode  15 |failure: False |Reward: -37141.00
Episode  16 |failure: False |Reward: -31860.00
Episode  17 |failure: False |Reward: -29698.00
Episode  18 |failure: False |Reward: -36020.00
Episode  19 |failure: False |Reward: -44022.00
Episode  20 |failure: True |Reward: -67460.00
Episode  21 |failure: False |Reward: -48021.00
Episode  22 |failure: False |Reward: -55862.00
Episode  23 |failure: False |Reward: -38176.00
Episode  24 |failure: False |Reward: -31222.00
Episode  25 |failure: False |Reward: -35137.00
Episode  26 |failure: False |Reward: -38336.00
Episode  27 |failure: False |Reward: -35142.00
Episode  28 |failure: False |Reward: -28016.00
Episode  29 |failure: False |Reward: -56022.00
Episode  30 |failure: False |Reward: -51382.00
Episode  31 |failure: False |Reward: -40022.00
Episode  32 |failure: False |Reward: -34662.00
Episode  33 |failure: False |Reward: -47622.00
Episode  34 |failure: False |Reward: -42822.00
Episode  35 |failure: False |Reward: -59942.00
Episode  36 |failure: True |Reward: -32022.00
Episode  37 |failure: False |Reward: -76022.00
Episode  38 |failure: False |Reward: -26742.00
Episode  39 |failure: False |Reward: -62982.00
Episode  40 |failure: True |Reward: -66819.00
